pair_swaps_datetime,mev_vol,non_mev_vol
2022-07-21,159680.6312215702,27937.04498992669
2022-07-22,-351358.3884543677,3415.1605188286994
2022-07-23,113017.99563026297,-1160.8443069938776
2022-07-24,245498.52995335468,-92468.07441581141
2022-07-25,-501681.3615703689,-4816.107983845352
2022-07-26,-58774.23062621959,2289.2990120240497
2022-07-27,269599.0053045131,-117382.19549887347
2022-07-28,-795600.7902092002,5226.703855575444
2022-07-29,-445540.15085334895,52656.173247119565
2022-07-30,25874.401935739083,-51602.45492513417
2022-07-31,302630.4768704089,-233588.85670912292
2022-08-01,-620009.6866605576,32803.31135156654
2022-08-02,303944.8595206302,-221534.9646938466
2022-08-03,-57168.378670105834,-280714.32204801193
2022-08-04,-345997.89644967,-3232.6564606007264
2022-08-05,-70783.23778789194,-36312.23100234456
2022-08-06,6113.782749923114,-29851.469754802474
2022-08-07,20505.82828432346,-69875.41371646634
2022-08-08,4793.2655547205,-57074.10411076967
2022-08-09,-613447.5612993952,225194.64023224465
2022-08-10,354471.3481024323,-49357.17142710972
2022-08-11,-346263.3988494016,-159933.33609434712
2022-08-12,-199898.54134182856,-31202.767681604004
2022-08-13,-1147400.6627663588,429418.7585112232
2022-08-14,591866.2850467734,-153051.0908368296
2022-08-15,219168.98927375613,-150937.0503166603
2022-08-16,143447.32416853166,-53917.76941258033
2022-08-17,38331.38773682361,-22214.208141302617
2022-08-18,872458.1870983072,-465861.8756172806
2022-08-19,-57698.89963640544,-65286.95259787393
2022-08-20,195443.1873258304,-130188.1174791787
2022-08-21,71549.93239860045,6986.253359326009
2022-08-22,152175.8372250268,-63967.88615885568
2022-08-23,149264.04365615066,-25914.038415313607
2022-08-24,43555.92414284575,-10052.328951422593
2022-08-25,-165843.73414114883,58449.43636975955
2022-08-26,-43564.41096431457,-48034.65627932832
2022-08-27,-114836.60357410161,-7653.704328899303
2022-08-28,6292.8464631752295,-48835.92266202755
2022-08-29,-103965.40655091341,102213.97624340997
2022-08-30,-81556.40875346682,27074.80209223856
2022-08-31,-48146.63167947904,-32116.98744414271
